,instance,method,goals_visited,path_length,num_points,runtime,valid,number_goal_points,number_start_points,number_end_points,instance_number
0,instance_003,greedy,3,1972.511,5,0.0001,1,5,4,4,instance_003
1,instance_001,greedy,3,1847.035,5,0.0002,1,8,2,2,instance_001
2,instance_002,greedy,3,1759.288,5,0.0002,1,8,4,4,instance_002
3,instance_004,hybrid,0,554.658,2,0.0001,1,8,2,4,instance_004
4,instance_003,local,3,1972.511,5,0.0001,1,5,4,4,instance_003
5,instance_004,beam,4,1657.656,6,0.0004,1,8,2,4,instance_004
6,instance_002,local,3,1759.288,5,0.0002,1,8,4,4,instance_002
7,instance_001,local,3,1847.035,5,0.0002,1,8,2,2,instance_001
8,instance_004,local,0,554.658,2,0.0001,1,8,2,4,instance_004
9,instance_003,hybrid,3,1972.511,5,0.0001,1,5,4,4,instance_003
10,instance_001,beam,4,1447.594,6,0.0005,1,8,2,2,instance_001
11,instance_001,annealing,0,0.0,0,0.0007,0,8,2,2,instance_001
12,instance_004,greedy,0,554.658,2,0.0001,1,8,2,4,instance_004
13,instance_002,hybrid,3,1759.288,5,0.0002,1,8,4,4,instance_002
14,instance_001,hybrid,3,1847.035,5,0.0002,1,8,2,2,instance_001
15,instance_003,annealing,0,0.0,0,0.0002,0,5,4,4,instance_003
16,instance_003,beam,4,1593.238,6,0.0005,1,5,4,4,instance_003
17,instance_004,annealing,0,0.0,0,0.0004,0,8,2,4,instance_004
18,instance_002,annealing,0,0.0,0,0.0012,0,8,4,4,instance_002
19,instance_002,beam,4,1900.835,6,0.0015,1,8,4,4,instance_002
20,instance_005,greedy,3,1988.027,5,0.0001,1,4,4,3,instance_005
21,instance_005,beam,3,1148.234,5,0.0002,1,4,4,3,instance_005
22,instance_005,local,3,1988.027,5,0.0002,1,4,4,3,instance_005
23,instance_006,greedy,2,1206.779,4,0.0001,1,3,2,2,instance_006
24,instance_005,hybrid,3,1988.027,5,0.0001,1,4,4,3,instance_005
25,instance_006,beam,3,1293.622,5,0.0001,1,3,2,2,instance_006
26,instance_006,local,2,1206.779,4,0.0001,1,3,2,2,instance_006
27,instance_005,annealing,0,0.0,0,0.0011,0,4,4,3,instance_005
28,instance_006,annealing,0,0.0,0,0.0002,0,3,2,2,instance_006
29,instance_006,hybrid,2,1206.779,4,0.0001,1,3,2,2,instance_006
30,instance_007,greedy,4,1666.708,6,0.0001,1,8,4,2,instance_007
31,instance_007,beam,4,1832.783,6,0.0004,1,8,4,2,instance_007
32,instance_008,greedy,3,1792.366,5,0.0001,1,5,2,4,instance_008
33,instance_007,hybrid,4,1666.708,6,0.0002,1,8,4,2,instance_007
34,instance_008,beam,3,1792.366,5,0.0002,1,5,2,4,instance_008
35,instance_007,annealing,0,0.0,0,0.0005,0,8,4,2,instance_007
36,instance_008,hybrid,3,1792.366,5,0.0001,1,5,2,4,instance_008
37,instance_008,local,3,1792.366,5,0.0001,1,5,2,4,instance_008
38,instance_009,greedy,3,1838.758,5,0.0001,1,4,2,4,instance_009
39,instance_008,annealing,0,0.0,0,0.0004,0,5,2,4,instance_008
40,instance_007,local,4,1666.708,6,0.0002,1,8,4,2,instance_007
41,instance_009,beam,3,1838.758,5,0.0002,1,4,2,4,instance_009
42,instance_009,local,3,1838.758,5,0.0001,1,4,2,4,instance_009
43,instance_009,hybrid,3,1838.758,5,0.0001,1,4,2,4,instance_009
44,instance_009,annealing,0,0.0,0,0.0003,0,4,2,4,instance_009
45,instance_010,greedy,2,949.29,4,0.0001,1,7,3,2,instance_010
46,instance_010,local,2,949.29,4,0.0001,1,7,3,2,instance_010
47,instance_010,hybrid,2,949.29,4,0.0001,1,7,3,2,instance_010
48,instance_010,beam,5,1848.211,7,0.0004,1,7,3,2,instance_010
49,instance_010,annealing,0,0.0,0,0.0005,0,7,3,2,instance_010
50,instance_011,greedy,5,1695.251,7,0.0003,1,16,3,3,instance_011
51,instance_012,greedy,4,1667.386,6,0.0003,1,17,2,2,instance_012
52,instance_011,local,5,1695.251,7,0.0005,1,16,3,3,instance_011
53,instance_011,hybrid,5,1695.251,7,0.0004,1,16,3,3,instance_011
54,instance_012,local,4,1667.386,6,0.0003,1,17,2,2,instance_012
55,instance_012,beam,5,1876.068,7,0.0009,1,17,2,2,instance_012
56,instance_011,annealing,0,0.0,0,0.0014,0,16,3,3,instance_011
57,instance_011,beam,7,1873.37,9,0.0019,1,16,3,3,instance_011
58,instance_012,annealing,0,0.0,0,0.002,0,17,2,2,instance_012
59,instance_013,greedy,0,519.562,2,0.0003,1,17,2,3,instance_013
60,instance_012,hybrid,4,1667.386,6,0.0004,1,17,2,2,instance_012
61,instance_013,local,0,519.562,2,0.0003,1,17,2,3,instance_013
62,instance_013,annealing,0,0.0,0,0.0005,0,17,2,3,instance_013
63,instance_013,hybrid,0,519.562,2,0.0003,1,17,2,3,instance_013
64,instance_014,greedy,4,1967.139,6,0.0003,1,17,4,3,instance_014
65,instance_013,beam,4,1952.053,6,0.0007,1,17,2,3,instance_013
66,instance_014,beam,8,1982.31,10,0.0017,1,17,4,3,instance_014
67,instance_014,annealing,0,0.0,0,0.0007,0,17,4,3,instance_014
68,instance_014,local,4,1834.335,6,0.0003,1,17,4,3,instance_014
69,instance_014,hybrid,4,1834.335,6,0.0003,1,17,4,3,instance_014
70,instance_015,greedy,5,1743.973,7,0.0002,1,11,4,3,instance_015
71,instance_015,local,5,1743.973,7,0.0004,1,11,4,3,instance_015
72,instance_016,greedy,0,599.093,2,0.0003,1,12,3,3,instance_016
73,instance_015,hybrid,5,1743.973,7,0.0004,1,11,4,3,instance_015
74,instance_015,beam,6,1419.072,8,0.0011,1,11,4,3,instance_015
75,instance_016,local,0,599.093,2,0.0003,1,12,3,3,instance_016
76,instance_016,hybrid,0,599.093,2,0.0003,1,12,3,3,instance_016
77,instance_016,beam,0,599.093,2,0.0016,1,12,3,3,instance_016
78,instance_017,greedy,7,1946.423,9,0.0008,1,19,4,2,instance_017
79,instance_015,annealing,0,0.0,0,0.0021,0,11,4,3,instance_015
80,instance_017,local,7,1946.423,9,0.0009,1,19,4,2,instance_017
81,instance_016,annealing,0,0.0,0,0.0017,0,12,3,3,instance_016
82,instance_017,hybrid,7,1946.423,9,0.0008,1,19,4,2,instance_017
83,instance_018,greedy,5,1907.544,7,0.0004,1,11,3,5,instance_018
84,instance_017,beam,10,1859.612,12,0.0037,1,19,4,2,instance_017
85,instance_017,annealing,0,0.0,0,0.0036,0,19,4,2,instance_017
86,instance_018,local,5,1907.544,7,0.0004,1,11,3,5,instance_018
87,instance_018,beam,6,1575.494,8,0.0013,1,11,3,5,instance_018
88,instance_018,hybrid,5,1907.544,7,0.0004,1,11,3,5,instance_018
89,instance_018,annealing,0,0.0,0,0.0013,0,11,3,5,instance_018
90,instance_019,greedy,5,1688.244,7,0.0003,1,12,4,3,instance_019
91,instance_019,beam,5,1688.244,7,0.0008,1,12,4,3,instance_019
92,instance_019,local,5,1677.765,7,0.0004,1,12,4,3,instance_019
93,instance_019,annealing,0,0.0,0,0.0007,0,12,4,3,instance_019
94,instance_019,hybrid,5,1677.765,7,0.0004,1,12,4,3,instance_019
95,instance_020,greedy,6,1935.699,8,0.0004,1,16,3,5,instance_020
96,instance_020,beam,6,1717.327,8,0.0012,1,16,3,5,instance_020
97,instance_020,annealing,0,0.0,0,0.0012,0,16,3,5,instance_020
98,instance_020,local,6,1935.699,8,0.0003,1,16,3,5,instance_020
99,instance_020,hybrid,6,1935.699,8,0.0005,1,16,3,5,instance_020
100,instance_021,greedy,6,1935.075,8,0.0003,1,15,5,4,instance_021
101,instance_021,local,6,1863.051,8,0.0008,1,15,5,4,instance_021
102,instance_022,greedy,3,1938.802,5,0.0002,1,10,5,3,instance_022
103,instance_021,hybrid,6,1863.051,8,0.0007,1,15,5,4,instance_021
104,instance_021,beam,6,1917.525,8,0.0021,1,15,5,4,instance_021
105,instance_022,annealing,0,0.0,0,0.0003,0,10,5,3,instance_022
106,instance_021,annealing,0,0.0,0,0.0024,0,15,5,4,instance_021
107,instance_022,local,3,1685.81,5,0.0001,1,10,5,3,instance_022
