instance,method,goals_visited,path_length,num_points,runtime,valid
instance_003,greedy,3,1972.511,5,0.0001,1
instance_001,greedy,3,1847.035,5,0.0002,1
instance_002,greedy,3,1759.288,5,0.0002,1
instance_004,hybrid,0,554.658,2,0.0001,1
instance_003,local,3,1972.511,5,0.0001,1
instance_004,beam,4,1657.656,6,0.0004,1
instance_002,local,3,1759.288,5,0.0002,1
instance_001,local,3,1847.035,5,0.0002,1
instance_004,local,0,554.658,2,0.0001,1
instance_003,hybrid,3,1972.511,5,0.0001,1
instance_001,beam,4,1447.594,6,0.0005,1
instance_001,annealing,0,0.0,0,0.0007,0
instance_004,greedy,0,554.658,2,0.0001,1
instance_002,hybrid,3,1759.288,5,0.0002,1
instance_001,hybrid,3,1847.035,5,0.0002,1
instance_003,annealing,0,0.0,0,0.0002,0
instance_003,beam,4,1593.238,6,0.0005,1
instance_004,annealing,0,0.0,0,0.0004,0
instance_002,annealing,0,0.0,0,0.0012,0
instance_002,beam,4,1900.835,6,0.0015,1
instance_005,greedy,3,1988.027,5,0.0001,1
instance_005,beam,3,1148.234,5,0.0002,1
instance_005,local,3,1988.027,5,0.0002,1
instance_006,greedy,2,1206.779,4,0.0001,1
instance_005,hybrid,3,1988.027,5,0.0001,1
instance_006,beam,3,1293.622,5,0.0001,1
instance_006,local,2,1206.779,4,0.0001,1
instance_005,annealing,0,0.0,0,0.0011,0
instance_006,annealing,0,0.0,0,0.0002,0
instance_006,hybrid,2,1206.779,4,0.0001,1
instance_007,greedy,4,1666.708,6,0.0001,1
instance_007,beam,4,1832.783,6,0.0004,1
instance_008,greedy,3,1792.366,5,0.0001,1
instance_007,hybrid,4,1666.708,6,0.0002,1
instance_008,beam,3,1792.366,5,0.0002,1
instance_007,annealing,0,0.0,0,0.0005,0
instance_008,hybrid,3,1792.366,5,0.0001,1
instance_008,local,3,1792.366,5,0.0001,1
instance_009,greedy,3,1838.758,5,0.0001,1
instance_008,annealing,0,0.0,0,0.0004,0
instance_007,local,4,1666.708,6,0.0002,1
instance_009,beam,3,1838.758,5,0.0002,1
instance_009,local,3,1838.758,5,0.0001,1
instance_009,hybrid,3,1838.758,5,0.0001,1
instance_009,annealing,0,0.0,0,0.0003,0
