instance,method,goals_visited,path_length,num_points,runtime,valid
instance_004,greedy,2,1806.396,4,0.0001,1
instance_005,greedy,3,1988.027,5,0.0001,1
instance_003,greedy,3,1972.511,5,0.0001,1
instance_001,hybrid,3,1847.035,5,0.0003,1
instance_005,local,3,1988.027,5,0.0001,1
instance_002,hybrid,3,1759.288,5,0.0002,1
instance_003,hybrid,3,1972.511,5,0.0001,1
instance_002,beam,4,1900.835,6,0.0006,1
instance_004,hybrid,2,1456.929,4,0.0001,1
instance_001,local,3,1847.035,5,0.0015,1
instance_005,hybrid,3,1988.027,5,0.0001,1
instance_004,beam,4,1657.656,6,0.0004,1
instance_002,local,3,1759.288,5,0.0002,1
instance_005,beam,3,1148.234,5,0.0002,1
instance_003,local,3,1972.511,5,0.0001,1
instance_002,greedy,3,1759.288,5,0.0002,1
instance_004,local,2,1456.929,4,0.0002,1
instance_001,greedy,3,1847.035,5,0.0015,1
instance_003,beam,4,1593.238,6,0.0007,1
instance_006,greedy,3,1817.502,5,0.0006,1
instance_006,beam,3,1293.622,5,0.0024,1
instance_001,beam,4,1447.594,6,0.001,1
instance_006,annealing,3,1731.073,5,0.0073,1
instance_003,annealing,5,3368.542,7,0.0115,0
instance_006,local,3,1731.073,5,0.0002,1
instance_005,annealing,4,2437.379,6,0.013,0
instance_002,annealing,8,5002.115,10,0.0162,0
instance_001,annealing,8,6014.674,10,0.0183,0
instance_004,annealing,8,4697.928,10,0.0179,0
instance_006,hybrid,3,1731.073,5,0.0001,1
instance_007,local,4,1666.708,6,0.0002,1
instance_007,beam,4,1832.783,6,0.0008,1
instance_007,greedy,4,1666.708,6,0.0002,1
instance_007,hybrid,4,1666.708,6,0.0005,1
instance_008,greedy,3,1792.366,5,0.0001,1
instance_008,beam,3,1792.366,5,0.0002,1
instance_008,local,3,1792.366,5,0.0002,1
instance_008,hybrid,3,1792.366,5,0.0001,1
instance_009,greedy,3,1838.758,5,0.0001,1
instance_009,beam,3,1838.758,5,0.0003,1
instance_007,annealing,8,4157.747,10,0.0143,0
instance_008,annealing,5,4320.707,7,0.0124,0
instance_009,local,3,1838.758,5,0.0001,1
instance_009,hybrid,3,1838.758,5,0.0001,1
instance_010,greedy,2,949.29,4,0.0002,1
instance_010,beam,5,1848.211,7,0.0004,1
instance_010,local,2,949.29,4,0.0001,1
instance_010,hybrid,2,949.29,4,0.0001,1
instance_011,greedy,5,1695.251,7,0.0004,1
instance_009,annealing,4,2290.011,6,0.0076,0
instance_010,annealing,7,4662.875,9,0.0073,0
instance_011,hybrid,5,1695.251,7,0.0006,1
